batch	expt
OEP01_N706_S501	Y01	K5ERRY_UI
OEP02_N701_S504	Y02	K5ERRY_96HPI
OEP01_N701_S501	Y01	K5ERRY_UI
OEP01_N707_S507	Y01	K5ERRY_UI
OEP02_N701_S506	Y02	K5ERRY_96HPI
OEP01_N710_S501	Y02	K5ERRY_96HPI
OEP02_N702_S507	Y02	K5ERRY_96HPI
OEP02_N703_S502	Y02	K5ERRY_96HPI
OEP01_N712_S506	Y02	K5ERRY_96HPI
OEP02_N704_S505	Y02	K5ERRY_96HPI
OEP01_N712_S502	Y02	K5ERRY_96HPI
OEP02_N703_S504	Y02	K5ERRY_96HPI
OEP01_N703_S501	Y01	K5ERRY_UI
OEP02_N703_S506	Y02	K5ERRY_96HPI
OEP02_N704_S508	Y02	K5ERRY_96HPI
OEP01_N708_S503	Y01	K5ERRY_UI
OEP01_N704_S503	Y01	K5ERRY_UI
OEP02_N702_S503	Y02	K5ERRY_96HPI
OEP02_N704_S501	Y02	K5ERRY_96HPI
OEP01_N708_S504	Y01	K5ERRY_UI
OEP01_N702_S501	Y01	K5ERRY_UI
OEP01_N704_S506	Y01	K5ERRY_UI
OEP02_N702_S506	Y02	K5ERRY_96HPI
OEP01_N712_S507	Y02	K5ERRY_96HPI
OEP01_N708_S506	Y01	K5ERRY_UI
OEP02_N702_S504	Y02	K5ERRY_96HPI
OEP01_N705_S505	Y01	K5ERRY_UI
OEP01_N710_S505	Y02	K5ERRY_96HPI
OEP01_N707_S504	Y01	K5ERRY_UI
OEP01_N711_S505	Y02	K5ERRY_96HPI
OEP01_N707_S506	Y01	K5ERRY_UI
OEP01_N710_S508	Y02	K5ERRY_96HPI
OEP01_N712_S503	Y02	K5ERRY_96HPI
OEP01_N707_S502	Y01	K5ERRY_UI
OEP01_N701_S508	Y01	K5ERRY_UI
OEP01_N711_S508	Y02	K5ERRY_96HPI
OEP01_N706_S508	Y01	K5ERRY_UI
OEP01_N708_S502	Y01	K5ERRY_UI
OEP01_N703_S505	Y01	K5ERRY_UI
OEP02_N701_S503	Y02	K5ERRY_96HPI
OEP02_N702_S502	Y02	K5ERRY_96HPI
OEP02_N703_S507	Y02	K5ERRY_96HPI
OEP01_N705_S508	Y01	K5ERRY_UI
OEP01_N703_S507	Y01	K5ERRY_UI
OEP02_N704_S502	Y02	K5ERRY_96HPI
OEP01_N702_S502	Y01	K5ERRY_UI
OEP01_N706_S503	Y01	K5ERRY_UI
OEP01_N711_S503	Y02	K5ERRY_96HPI
OEP02_N701_S508	Y02	K5ERRY_96HPI
OEP01_N701_S507	Y01	K5ERRY_UI
